blockLot,fullAddress,neighborhood,councilDistrict,policeDistrict,Location 1,noticeDate
2174A016,2422 FREDERICK AVE,SHIPLEY HILL,9,SOUTHWESTERN,"(39.284070327199998, -76.655271117599995)",08/20/2007
1131 004,1006 E HOFFMAN ST,OLIVER,12,EASTERN,"(39.306254662100002, -76.603532590499995)",10/28/2005
2418 061,1617 POPLAR GROVE ST,NORTHWEST COMMUNITY ACTION,7,SOUTHWESTERN,"(39.306512056499997, -76.665349064799997)",07/18/2013
2425 001A,3012 PRESBURY ST,NORTHWEST COMMUNITY ACTION,7,SOUTHWESTERN,"(39.307284421799999, -76.667985148499994)",03/05/2013
1467 014,1625 RUTLAND AVE,BROADWAY EAST,12,EASTERN,"(39.309494320299997, -76.592639984399995)",04/08/2008
2167B028,2558 W FAYETTE ST,SHIPLEY HILL,9,SOUTHWESTERN,"(39.289048069300001, -76.658119465200002)",09/30/2010
7056 005A,520 MAUDE AVE,BROOKLYN,10,SOUTHERN,"(39.238945094999998, -76.602072731999996)",01/25/2013
0780 013,1127 WASHINGTON BLVD,WASHINGTON VILLAGE/PIGTOWN,10,SOUTHERN,"(39.282208076000003, -76.633030884199997)",03/29/2013
1458 024,1923 E LAFAYETTE AVE,BROADWAY EAST,12,EASTERN,"(39.3106181287, -76.590869021399996)",09/18/2007
1688 005,213 N COLLINGTON AVE,CARE,13,SOUTHEASTERN,"(39.294818228499999, -76.586165945700003)",09/27/2013
2205 055,2411 LAURETTA AVE,ROSEMONT HOMEOWNERS/TENANTS,9,WESTERN,"(39.293887705300001, -76.655139455099999)",12/20/2011
0249 030,105 S CAREY ST,HOLLINS MARKET,9,SOUTHERN,"(39.286216654199997, -76.637741975099999)",10/28/2011
4168 010,2019 N WASHINGTON ST,SOUTH CLIFTON PARK,12,EASTERN,"(39.3137336367, -76.590215705899993)",07/24/2006
4029 019,2331 SHERWOOD AVE,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.315917337400002, -76.597129464399998)",04/13/2011
1587 036,2019 E EAGER ST,MIDDLE EAST,13,EASTERN,"(39.301900094200001, -76.589050882799995)",09/20/2011
7841 052,1902 GRIFFIS AVE,MORRELL PARK,10,SOUTHWESTERN,"(39.267461491600002, -76.650695241600005)",06/26/2013
0114 055,626 N ARLINGTON AVE,HARLEM PARK,9,WESTERN,"(39.2962529745, -76.635990015900006)",04/22/2008
0396 042,1307 DIVISION ST,UPTON,11,CENTRAL,"(39.301434624700001, -76.629568524299998)",03/05/2008
3210 054,1915 RIDGEHILL AVE,MONDAWMIN,7,WESTERN,"(39.311255558399999, -76.648810155299998)",12/21/2007
0096 058,1832 HARLEM AVE,HARLEM PARK,9,WESTERN,"(39.296596546899998, -76.647098765899997)",04/10/2008
1628 057,2820 E MONUMENT ST,MADISON-EASTEND,13,EASTERN,"(39.299226739700003, -76.577273512800005)",10/28/2011
4583 008,3216 W GARRISON AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.347273274300001, -76.674397117200002)",09/27/2013
0394 041,1329 ARGYLE AVE,UPTON,11,CENTRAL,"(39.300254792099999, -76.631970151900006)",07/24/2009
0414 064,545 W LAFAYETTE AVE,UPTON,11,CENTRAL,"(39.301370499599997, -76.631074891400004)",02/04/2009
3347 031,2525 OSWEGO AVE,GREENSPRING,6,NORTHERN,"(39.3365731281, -76.659959468500006)",12/31/2008
2448 017,1148 N LONGWOOD ST,WINCHESTER,9,SOUTHWESTERN,"(39.3011031996, -76.667575919200004)",12/04/2007
1102 069,1621 E NORTH AVE,OLIVER,12,EASTERN,"(39.311765787799999, -76.596236595199997)",11/09/2004
0469 006,813 EDMONDSON AVE,UPTON,11,CENTRAL,"(39.295914501600002, -76.631458019500002)",11/10/2004
4577A002,3624 W GARRISON AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.344748392299998, -76.678335000600001)",11/08/2012
2165 007,47 N CATHERINE ST,SHIPLEY HILL,9,SOUTHWESTERN,"(39.288947564700003, -76.656325368500006)",05/19/2013
0264 088,1412 KUPER ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,"(39.2851290961, -76.639966623800007)",02/11/2008
3206 014,2028 W NORTH AVE,MONDAWMIN,7,WESTERN,"(39.3099191584, -76.650888911199999)",11/04/2010
3411 001,2500 DRUID HILL AVE,PENN NORTH,7,WESTERN,"(39.3132630303, -76.641420633899997)",01/09/2009
0058 004,1906 MOSHER ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.300008352200003, -76.647873039399997)",11/18/2008
0071 076,903 APPLETON ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.299111032399999, -76.648150234499994)",06/19/2008
1102 052,1830 N BROADWAY,OLIVER,12,EASTERN,"(39.311485110500001, -76.595475648100006)",11/01/2005
1646 029,3031 E MONUMENT ST,ELLWOOD PARK/MONUMENT,13,SOUTHEASTERN,"(39.298979470699997, -76.574124326900005)",04/11/2008
3326 008,3414 PARK HEIGHTS AVE,PARK CIRCLE,6,NORTHWESTERN,"(39.326523868999999, -76.658002872500006)",10/30/2006
0276 049,1704 RAMSAY ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,"(39.283400144600002, -76.644019711699997)",03/01/2007
2518 058,811 WICKLOW ROAD,ROGNEL HEIGHTS,8,SOUTHWESTERN,"(39.296256508900001, -76.687919119)",12/15/2011
1658 052,2702 JEFFERSON ST,MCELDERRY PARK,13,SOUTHEASTERN,"(39.297035221400002, -76.578872927800006)",04/24/2009
2406 073,1724 N DUKELAND ST,NORTHWEST COMMUNITY ACTION,7,SOUTHWESTERN,"(39.307853989100003, -76.663833439000001)",09/03/2013
1642 031,616 N LAKEWOOD AVE,MCELDERRY PARK,13,SOUTHEASTERN,"(39.298468510399999, -76.579683782900005)",07/10/2007
1553 074,2207 HENNEMAN AVE,MIDDLE EAST,13,EASTERN,"(39.303940322400003, -76.586453334400005)",03/23/2010
0275 072,1843 MCHENRY ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.284039837999998, -76.646253081699996)",01/29/2008
2808 002,3706 CLIFTON AVE,MOUNT HOLLY,7,SOUTHWESTERN,"(39.311007328000002, -76.680113719000005)",09/11/2013
5898H100,4010 EIERMAN AVE,ARCADIA,3,NORTHEASTERN,"(39.330353108499999, -76.566119460199999)",08/09/2010
2175 084,2526 BOYD ST,SHIPLEY HILL,9,SOUTHWESTERN,"(39.2863192015, -76.657227215000006)",09/24/2008
1164A063,1242 N BROADWAY,OLIVER,12,EASTERN,"(39.304927864900002, -76.595056144500006)",09/19/2012
1459 082,1727 N WASHINGTON ST,BROADWAY EAST,12,EASTERN,"(39.310400459999997, -76.590026397399996)",03/28/2012
1152 021,430 E BIDDLE ST,JOHNSTON SQUARE,12,EASTERN,"(39.3038860626, -76.609604209400004)",06/09/2010
1694 053,2802 PULASKI HWY,MCELDERRY PARK,13,SOUTHEASTERN,"(39.295129073600002, -76.577307000900007)",10/26/2012
1463 048,1712 N MONTFORD AVE,BROADWAY EAST,13,EASTERN,"(39.310322833699999, -76.584675586000003)",10/11/2012
0363 039,426 MOSHER ST,UPTON,11,CENTRAL,"(39.303827863800002, -76.630557477500005)",08/30/2011
1464 082,1713 N MONTFORD AVE,BROADWAY EAST,13,EASTERN,"(39.310342628599997, -76.5841809195)",01/09/2013
0020 049E,1830 PRESSTMAN ST,SANDTOWN-WINCHESTER,7,WESTERN,"(39.305438819800003, -76.647513013500003)",02/10/2011
0288 068,448 FURROW ST,CARROLLTON RIDGE,9,SOUTHWESTERN,"(39.281942336, -76.651996766899998)",07/10/2012
0077 013,1331 MOSHER ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.299834801300001, -76.6397101445)",05/14/2008
4575 011,3719 W BELVEDERE AVE,LANGSTON HUGHES,6,NORTHWESTERN,"(39.345750534099999, -76.680400697300001)",03/30/2009
0275 132,1809 WILHELM ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.283612748700001, -76.645490866000003)",07/25/2013
3347C052,2643 LOYOLA SOUTHWAY,GREENSPRING,6,NORTHERN,"(39.336699291800002, -76.662148431299997)",12/03/2007
0078 011,1236 W LAFAYETTE AVE,SANDTOWN-WINCHESTER,9,WESTERN,"(39.299298319000002, -76.638576087700002)",12/13/2007
3806 058,2012 BARCLAY ST,BARCLAY,12,EASTERN,"(39.313037202499999, -76.611303073499997)",10/19/2006
0260 084,1815 DOVER ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.284629248500003, -76.645652625300002)",09/01/2009
0204 088,2214 BOOTH ST,BOYD-BOOTH,9,SOUTHWESTERN,"(39.287522132900001, -76.6521897768)",05/23/2006
0313 019,535 BLOOM ST,UPTON,11,CENTRAL,"(39.307136542899997, -76.637509641999998)",02/25/2009
0179 027,103 N FULTON AVE,FRANKLIN SQUARE,9,WESTERN,"(39.289883609299999, -76.644974452400007)",07/21/2008
0083 087,817 APPLETON ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.298200039699999, -76.648098171599997)",10/10/2008
2382 035,2706 PROSPECT ST,MOSHER,9,WESTERN,"(39.298814756399999, -76.662250799700004)",07/28/2006
1477 033,1723 E FEDERAL ST,BROADWAY EAST,12,EASTERN,"(39.308387456799998, -76.593570639600003)",07/24/2007
0064 014,1326 MOSHER ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.300351481299998, -76.639571474299998)",05/01/2007
0260 064,1802 MCHENRY ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.284471110299997, -76.64538014)",05/18/2009
3445 011,2220 CALLOW AVE,RESERVOIR HILL,7,CENTRAL,"(39.313310493700001, -76.631704392200007)",03/28/2013
2109 066A,2417 CHRISTIAN ST,MILLHILL,9,SOUTHWESTERN,"(39.279993026299998, -76.654508033599996)",03/01/2005
2183 020,337 STINSON ST,SHIPLEY HILL,9,SOUTHWESTERN,"(39.283366239199999, -76.658398887399997)",02/15/2013
2411 021,2919 WESTWOOD AVE,NORTHWEST COMMUNITY ACTION,7,SOUTHWESTERN,"(39.307914997099999, -76.666633454199996)",05/31/2013
2455 009,3219 PRESSTMAN ST,ROSEMONT,9,SOUTHWESTERN,"(39.304170074799998, -76.671277227999994)",06/23/2010
0196 046,1500 W BALTIMORE ST,FRANKLIN SQUARE,9,WESTERN,"(39.288646632599999, -76.6411317819)",04/25/2006
3325 016,3530 PARK HEIGHTS AVE,PARK CIRCLE,6,NORTHWESTERN,"(39.329043451799997, -76.659117223899997)",06/07/2013
1568 007,1015 N WASHINGTON ST,MIDDLE EAST,13,EASTERN,"(39.302649325200001, -76.589592197000002)",05/15/2006
1504 040,2408 E HOFFMAN ST,BROADWAY EAST,13,EASTERN,"(39.307028998699998, -76.583884815999994)",10/06/2009
0206 025,19 S PULASKI ST,BOYD-BOOTH,9,SOUTHWESTERN,"(39.287318616900002, -76.649798179699999)",02/26/2013
4137 060,2806 THE ALAMEDA,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.323402002000002, -76.593518365899996)",10/20/2011
4544D027,3704 W BELVEDERE AVE,ARLINGTON,5,NORTHWESTERN,"(39.3463752356, -76.680637713199999)",07/31/2013
2230F021,41 N ABINGTON AVE,CARROLL-SOUTH HILTON,9,SOUTHWESTERN,"(39.286974877200002, -76.670972703000004)",10/06/2011
3951 025,1720 E 28TH ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.324083632200001, -76.591264893100004)",09/20/2011
0294 043,1729 N CAREY ST,PENN NORTH,7,WESTERN,"(39.309440906900001, -76.643012595000002)",12/17/2010
0126 012,524 N CARROLLTON AVE,HARLEM PARK,9,WESTERN,"(39.294914865800003, -76.637388520900004)",11/19/2008
0119 062,1906 LAURETTA AVE,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2946344287, -76.647856887499998)",10/24/2006
0118 032,2029 EDMONDSON AVE,MIDTOWN-EDMONDSON,9,WESTERN,"(39.294864489799998, -76.6499548922)",09/11/2007
4594 018,5035 QUEENSBERRY AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.349868943700002, -76.671491747499999)",07/30/2013
0303 048,504 GOLD ST,DRUID HEIGHTS,7,CENTRAL,"(39.3089214978, -76.637833195100001)",03/23/2010
0274 057,1933 MCHENRY ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.283999988399998, -76.647905955300004)",08/01/2012
4096 004,912 HOMESTEAD ST,BETTER WAVERLY,14,NORTHERN,"(39.325705851800002, -76.604065020600004)",12/08/2009
2140 052,2654 LEHMAN ST,MILLHILL,9,SOUTHWESTERN,"(39.280725056900003, -76.658254100199997)",07/28/2012
3445 013,2224 CALLOW AVE,RESERVOIR HILL,7,CENTRAL,"(39.313409551699998, -76.631706539999996)",12/13/2006
0416 016,1239 DRUID HILL AVE,UPTON,11,CENTRAL,"(39.302064514599998, -76.628252889400002)",07/29/2005
1468 013,1625 N WOLFE ST,BROADWAY EAST,12,EASTERN,"(39.309240242100003, -76.591307304500006)",10/14/2010
2304 002,2325 W NORTH AVE,COPPIN HEIGHTS/ASH-CO-EAST,7,WESTERN,"(39.309264730000002, -76.654875387700002)",02/25/2008
4605A014,4937 EDGEMERE AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.345221820900001, -76.674373202799998)",06/26/2009
4123A059,1722 MONTPELIER ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.3197272325, -76.594674007500004)",03/02/2010
0221 044,114 S CALVERTON ROAD,SHIPLEY HILL,9,SOUTHWESTERN,"(39.2865449098, -76.652184885899999)",02/23/2005
4020 003,704 E 21ST ST,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.313781469200002, -76.608193225899996)",12/15/2011
3973C024,723 SPRINGFIELD AVE,PEN LUCY,4,NORTHERN,"(39.3409304471, -76.605599319500001)",10/19/2007
4587 042,3041 SPAULDING AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.349120900700001, -76.672972953799999)",03/14/2012
0271 054,349 FURROW ST,CARROLLTON RIDGE,9,SOUTHWESTERN,"(39.2831496859, -76.651703862900007)",11/30/2006
0106 065,626 N PAYSON ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.295874136199998, -76.649340907799996)",01/14/2011
4178I040,3434 RAVENWOOD AVE,FOUR BY FOUR,13,NORTHEASTERN,"(39.315497201299998, -76.574758681500001)",11/12/2010
1505 047,1433 N MILTON AVE,BEREA,13,EASTERN,"(39.307841073900001, -76.582619191199996)",11/13/2007
0163 006,1810 W LEXINGTON ST,FRANKLIN SQUARE,9,WESTERN,"(39.290812142199997, -76.646116732799996)",05/13/2010
0699 076,1936 CHRISTIAN ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.282532376900001, -76.647757628099995)",11/27/2006
0228 018,1735 HOLLINS ST,UNION SQUARE,9,SOUTHERN,"(39.287055888899999, -76.644978536899998)",03/24/2006
0258 055,200 HARMISON ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.284689049800001, -76.649349165399997)",12/28/2012
1446 030,1763 E NORTH AVE,BROADWAY EAST,12,EASTERN,"(39.311946914499998, -76.593353993199997)",08/23/2013
0432 023,1141 ARGYLE AVE,UPTON,11,CENTRAL,"(39.298771116700003, -76.630192086799994)",12/10/2011
2136 038,2695 SAINT BENEDICT ST,MILLHILL,9,SOUTHWESTERN,"(39.278606810500001, -76.6584478276)",11/30/2012
3207 002,1902 W NORTH AVE,MONDAWMIN,7,WESTERN,"(39.310031372499999, -76.648360952000004)",08/31/2012
3936 079,2710 FENWICK AVE,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.3226856482, -76.590100756699997)",10/04/2013
7900 068,4630 COLEHERNE ROAD,HUNTING RIDGE,8,SOUTHWESTERN,"(39.295116958900003, -76.695521917099995)",06/26/2013
0322 037,1915 DRUID HILL AVE,DRUID HEIGHTS,11,CENTRAL,"(39.307134160300002, -76.634523173700003)",07/21/2005
0163 074,218 N FULTON AVE,FRANKLIN SQUARE,9,WESTERN,"(39.291069982099998, -76.645632190000001)",07/25/2012
0096 086,1829 RAYNER AVE,HARLEM PARK,9,WESTERN,"(39.296827956599998, -76.6469796847)",12/02/2011
1767 010,2219 GOUGH ST,UPPER FELLS POINT,1,SOUTHEASTERN,"(39.287740474499998, -76.585321514)",12/12/2011
3518C028,1501 W 36TH ST,HAMPDEN,7,NORTHERN,"(39.329906934500002, -76.638923946399998)",01/31/2012
1651 014,527 N CASTLE ST,CARE,13,EASTERN,"(39.297039098900001, -76.588382294499993)",08/21/2012
0850 087,845 REINHARDT ST,WASHINGTON VILLAGE/PIGTOWN,10,SOUTHERN,"(39.282363180300003, -76.630442353700005)",08/06/2008
0258 045,218 S PAYSON ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.284358660800002, -76.648691022600005)",09/17/2008
4581 006,5010 DENMORE AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.346789653999998, -76.675505760099995)",04/24/2007
0194 042,4 N MOUNT ST,FRANKLIN SQUARE,9,WESTERN,"(39.288568532500001, -76.644098610100002)",06/13/2012
0049 005,1108 N MONROE ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.301153364100003, -76.647907272300003)",04/23/2010
5387 418,1710 HILLENWOOD ROAD,PERRING LOCH,3,NORTHEASTERN,"(39.355033838700002, -76.582289471699994)",09/18/2013
6763 009,6624 HARTWAIT ST,BROENING MANOR,1,SOUTHEASTERN,"(39.274746498200003, -76.533715365500001)",05/22/2013
2847 018,2903 CHELSEA TERR,GARWYN OAKS,6,NORTHWESTERN,"(39.320361520699997, -76.681528647099995)",02/14/2005
0207 016,27 S PAYSON ST,BOYD-BOOTH,9,SOUTHWESTERN,"(39.287199128300003, -76.648353479400001)",09/02/2009
0313 034,2049 PENNSYLVANIA AVE,UPTON,11,CENTRAL,"(39.306700444000001, -76.638171155899997)",04/05/2007
5928 046,4237 SHELDON AVE,BELAIR-EDISON,2,NORTHEASTERN,"(39.327904262300002, -76.564070080999997)",05/18/2012
3301 135M,3303 SAINT AMBROSE AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.341964296900002, -76.670360913600007)",07/09/2012
2362 005,2522 EDMONDSON AVE,ROSEMONT HOMEOWNERS/TENANTS,9,WESTERN,"(39.2949609665, -76.657103405699999)",09/27/2013
3208 045,1809 WALBROOK AVE,MONDAWMIN,7,WESTERN,"(39.310709129599999, -76.647207198700002)",08/14/2006
1609 084,815 N ROSE ST,MILTON-MONTFORD,13,EASTERN,"(39.300525075099998, -76.581507091099994)",01/30/2007
1458 056,1914 E LANVALE ST,BROADWAY EAST,12,EASTERN,"(39.3099212726, -76.591100088000005)",02/25/2009
0129 104,930 BENNETT PL,HARLEM PARK,9,WESTERN,"(39.295149991000002, -76.6332084477)",01/29/2010
2382 031,2757 MOSHER ST,MOSHER,9,WESTERN,"(39.2990134032, -76.663259553100005)",07/30/2007
1478 043,1512 N WOLFE ST,BROADWAY EAST,12,EASTERN,"(39.307935571800002, -76.591717994600003)",08/22/2007
0279 083,335 S PARRISH ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,"(39.283646758400003, -76.641199137100003)",11/03/2011
0079 031,910 N ARLINGTON AVE,SANDTOWN-WINCHESTER,9,WESTERN,"(39.299828843199997, -76.636235878099995)",12/03/2012
0293 050,704 CUMBERLAND ST,SANDTOWN-WINCHESTER,7,WESTERN,"(39.308665109899998, -76.642887684100003)",04/25/2012
3307A027,2629 ROSEWOOD AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.338388189200003, -76.664817574400004)",10/11/2007
1636 013,625 N CASTLE ST,CARE,13,EASTERN,"(39.297994871100002, -76.588424486700006)",05/20/2011
2482B043,2907 ARUNAH AVE,FRANKLINTOWN ROAD,9,SOUTHWESTERN,"(39.2949685273, -76.665594374700007)",09/02/2011
1148 007,1313 N CENTRAL AVE,OLIVER,12,EASTERN,"(39.305539244199998, -76.600254927400002)",01/18/2006
0916 005,908 S HANOVER ST,SHARP-LEADENHALL,11,SOUTHERN,"(39.278637203999999, -76.615933413899995)",08/14/2007
7138 001,4105 TOWNSEND AVE,BROOKLYN,10,SOUTHERN,"(39.2285396093, -76.602167517599995)",09/23/2005
0280 092,302 S NORRIS ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,"(39.2841796015, -76.640133490899998)",10/16/2007
4004 002,1002 E NORTH AVE,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.311923342299998, -76.604969422099998)",01/27/2011
1416 009,201 S CENTRAL AVE,WASHINGTON HILL,12,SOUTHEASTERN,"(39.288644859599998, -76.598943924500006)",10/31/2012
7190 028,4805 PENNINGTON AVE,CURTIS BAY,10,SOUTHERN,"(39.222811177099999, -76.587974455099996)",01/12/2006
0121 048,515 N FULTON AVE,HARLEM PARK,9,WESTERN,"(39.294312325900002, -76.645246377600003)",04/23/2007
2169 033,2707 W FAIRMOUNT AVE,SHIPLEY HILL,9,SOUTHWESTERN,"(39.288139249300002, -76.659575887200006)",05/23/2011
3406 024,2430 WOODBROOK AVE,PENN NORTH,7,WESTERN,"(39.310726046600003, -76.641818646900006)",03/30/2006
4137 051,2812 KENNEDY AVE,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.323375562599999, -76.594050908599996)",03/08/2013
3936 002,2850 HARFORD ROAD,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.3224398885, -76.589674741400003)",07/16/2012
1604 052,800 N CASTLE ST,MIDDLE EAST,13,EASTERN,"(39.2999799133, -76.5890484313)",03/23/2010
3341 003,3805 PARK HEIGHTS AVE,GREENSPRING,6,NORTHERN,"(39.332387729700002, -76.660574700200002)",06/26/2008
3422 062,1115 WHITELOCK ST,RESERVOIR HILL,7,CENTRAL,"(39.312080246500003, -76.638258289899994)",09/23/2011
1591 021,2440 E EAGER ST,MILTON-MONTFORD,13,EASTERN,"(39.3020055434, -76.5829469663)",08/04/2005
1143 056,1317 HILLMAN ST,JOHNSTON SQUARE,12,EASTERN,"(39.305611611300002, -76.605704932199998)",05/16/2013
3173 004,3624 REISTERSTOWN ROAD,PARK CIRCLE,6,NORTHWESTERN,"(39.329681915099997, -76.661227434400004)",01/19/2011
1653 054,2211 MCELDERRY ST,CARE,13,EASTERN,"(39.2974160355, -76.586236789799997)",12/30/2005
4604 004,4806 WILERN AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.344143880399997, -76.674843748800001)",10/19/2007
1534 039,1215 N CHESTER ST,BROADWAY EAST,13,EASTERN,"(39.305203114299999, -76.588006324099993)",02/12/2008
0702 026,609 S SMALLWOOD ST,CARROLLTON RIDGE,9,SOUTHWESTERN,"(39.2803010274, -76.650012664399995)",12/22/2004
7868B003A,2357 WASHINGTON BLVD,MORRELL PARK,10,SOUTHWESTERN,"(39.2686043924, -76.649950164700002)",10/30/2012
2441 034,1609 N HILTON ST,ROSEMONT,9,SOUTHWESTERN,"(39.3060786701, -76.671815019099995)",04/14/2009
1642 051,2613 E MONUMENT ST,MCELDERRY PARK,13,SOUTHEASTERN,"(39.298727364500003, -76.580446963499995)",03/02/2006
4580 035,3306 SPAULDING AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3472678798, -76.676868343300001)",01/24/2013
0338 015,1728 DIVISION ST,UPTON,11,CENTRAL,"(39.304631993900003, -76.634273083400004)",10/11/2007
1463 090,1730 N BRADFORD ST,BROADWAY EAST,13,EASTERN,"(39.310571492800001, -76.5852892634)",11/23/2011
3312 043,4023 REISTERSTOWN ROAD,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.334718393999999, -76.664363118099999)",09/16/2005
0061 020,1609 RIGGS AVE,SANDTOWN-WINCHESTER,9,WESTERN,"(39.3008638409, -76.643613267800006)",02/15/2008
4005 051,1113 E 20TH ST,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.312591603100003, -76.603408752000007)",06/19/2008
4175 038,2302 E NORTH AVE,SOUTH CLIFTON PARK,12,EASTERN,"(39.312780237399998, -76.585844658599996)",11/05/2004
0083 035,817 N PAYSON ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.298170668700003, -76.648947254600003)",05/05/2010
0055C043,1144 N CARROLLTON AVE,SANDTOWN-WINCHESTER,9,WESTERN,"(39.302148665700003, -76.637725876600001)",09/02/2010
0094 010,700 N PAYSON ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.296658763099998, -76.649385863299997)",11/09/2004
3013 053,2916 WALBROOK AVE,WALBROOK,7,SOUTHWESTERN,"(39.310493250100002, -76.666826057799994)",03/15/2006
2243C039A,45 S MORLEY ST,SAINT JOSEPHS,8,SOUTHWESTERN,"(39.285634191699998, -76.674857739900006)",03/14/2013
0149 043,308 N BRUCE ST,FRANKLIN SQUARE,9,WESTERN,"(39.292316473100001, -76.644847700400007)",10/08/2013
3312 044,4021 REISTERSTOWN ROAD,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.334673782099998, -76.664321256400001)",04/08/2009
1122 039,1521 HOLBROOK ST,OLIVER,12,EASTERN,"(39.307608253600002, -76.602931138700001)",12/04/2008
2170B027,2526 W BALTIMORE ST,SHIPLEY HILL,9,SOUTHWESTERN,"(39.287901678799997, -76.657249835900004)",08/06/2012
1182 029,711 E CHASE ST,JOHNSTON SQUARE,12,EASTERN,"(39.302529373299997, -76.6069598343)",02/26/2008
2170A049,2501 W FAYETTE ST,SHIPLEY HILL,9,SOUTHWESTERN,"(39.288749970200001, -76.656663126799998)",08/17/2012
4616 118,4826 PALMER AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.346645659799997, -76.671491305999993)",03/29/2008
1669 035,426 N COLLINGTON AVE,CARE,13,EASTERN,"(39.296191997299999, -76.586743063)",09/26/2012
4580 033,3312 SPAULDING AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.347161850399999, -76.677032116500001)",03/07/2008
4188C061,3237 LAWNVIEW AVE,BELAIR-EDISON,13,NORTHEASTERN,"(39.319089108900002, -76.572473080699993)",05/24/2013
0234 075,42 S CARLTON ST,HOLLINS MARKET,9,SOUTHERN,"(39.286951675499999, -76.636073942899998)",04/27/2012
6750D001,6526 EASTBOURNE AVE,BROENING MANOR,1,SOUTHEASTERN,"(39.273365780799999, -76.534974367399997)",11/30/2012
4588 010,5119 QUEENSBERRY AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.350592799799998, -76.672016937199999)",05/04/2011
2297 002,402 N LOUDON AVE,ALLENDALE,8,SOUTHWESTERN,"(39.291795245800003, -76.682735705599995)",07/08/2008
3913 037,711 CATOR AVE,PEN LUCY,4,NORTHERN,"(39.338853593300001, -76.606002109200006)",04/29/2013
0300C083,1546 N WOODYEAR ST,SANDTOWN-WINCHESTER,7,WESTERN,"(39.3067595658, -76.641339555800002)",09/24/2013
0178 047,1820 W FAYETTE ST,FRANKLIN SQUARE,9,WESTERN,"(39.289739299600001, -76.646076566800005)",10/01/2013
0176 050,118 N PAYSON ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.290157517899999, -76.649042844299998)",08/05/2012
1645 053,2926 MCELDERRY ST,ELLWOOD PARK/MONUMENT,13,SOUTHEASTERN,"(39.298180804499999, -76.575615539099999)",12/01/2011
